,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
128,Talnakh,96,RU,1566430060,100,69.49,88.39,10.0,2.0
129,Kidal,99,ML,1566430060,53,18.44,1.41,28.02,6.14
130,Panzhihua,100,CN,1566430060,90,26.59,101.72,20.02,0.53
131,Ucluelet,20,CA,1566430060,68,48.94,-125.55,21.67,5.7
132,Prince George,40,CA,1566429770,33,53.92,-122.75,23.0,10.3
133,Kirovskiy,79,RU,1566430061,93,45.09,133.51,19.02,3.59
134,Iberia,0,PE,1566430061,47,-11.41,-69.49,25.52,1.33
135,San Lazaro,40,BZ,1566430061,79,18.04,-88.66,31.0,3.1
136,Great Falls,1,US,1566430062,20,47.5,-111.29,34.0,7.2
137,Namatanai,100,PG,1566430062,84,-3.66,152.44,26.22,6.41
138,Puri,68,ID,1566430062,74,-7.54,112.45,23.82,2.75
139,Kavaratti,100,IN,1566430062,75,10.57,72.64,27.72,5.79
140,Bhatkal,100,IN,1566430063,85,13.97,74.57,25.32,0.81
141,Husavik,81,CA,1566430063,55,50.56,-96.99,17.78,3.58
142,Saint George,0,GR,1566430063,56,39.45,22.34,22.0,0.4
143,Brae,100,GB,1566429943,93,60.4,-1.35,13.0,7.2
144,Tiksi,100,RU,1566429896,95,71.64,128.87,5.22,2.8
145,Zempoala,76,MX,1566430064,90,20.09,-98.0,15.72,2.27
146,Furano,75,JP,1566430064,82,43.28,142.47,17.0,4.6
147,Havre-Saint-Pierre,90,CA,1566430064,68,50.23,-63.6,19.0,4.6
148,Narsaq,20,GL,1566429890,61,60.91,-46.05,10.0,3.6
149,Nhulunbuy,72,AU,1566430065,53,-12.18,136.78,25.0,7.7
150,Iquitos,40,PE,1566430065,319,-3.75,-73.25,6.0,1.0
151,Yelyzavethradka,21,UA,1566430065,69,48.8,32.4,19.12,2.14
152,Grand Gaube,40,MU,1566430065,93,-20.01,57.66,19.44,2.6
153,Chuy,3,UY,1566429947,86,-33.69,-53.46,7.42,2.18
154,Gambela,76,ET,1566430066,92,8.25,34.59,19.42,1.89
155,Salalah,75,OM,1566430066,78,17.01,54.1,27.0,3.6
156,Te Anau,30,NZ,1566430066,90,-45.41,167.72,4.12,1.73
157,Inhambane,5,MZ,1566430066,88,-23.87,35.38,13.42,1.5
158,Keshorai Patan,87,IN,1566430067,78,25.3,75.93,25.52,3.85
159,Boa Vista,0,BR,1566430067,78,2.82,-60.67,27.0,2.49
160,Dingle,100,PH,1566430067,85,11.0,122.67,24.42,0.67
161,Nizhneangarsk,27,RU,1566430067,61,55.78,109.57,10.82,0.97
162,Dalen,0,IQ,1566430067,27,35.23,45.96,26.0,5.1
163,Ribeira Grande,40,PT,1566429890,88,38.52,-28.7,23.0,6.2
164,Kaohsiung,75,TW,1566430068,88,22.62,120.31,28.33,2.6
165,Sao Jose da Coroa Grande,34,BR,1566430068,93,-8.9,-35.15,19.22,1.04
166,Gizo,40,IL,1566429925,69,31.8,34.94,26.0,1.5
167,Chinhoyi,41,ZW,1566430068,76,-17.36,30.19,9.02,2.5
168,General Pico,100,AR,1566430069,63,-35.66,-63.75,9.52,3.75
169,Saskylakh,100,RU,1566430069,82,71.97,114.09,8.42,2.47
170,Cabo San Lucas,40,MX,1566429853,66,22.89,-109.91,33.33,4.1
171,Bontang,92,ID,1566430069,92,0.12,117.47,24.92,0.82
172,Micheldorf,40,AT,1566430069,93,46.91,14.43,17.0,0.5
173,Tuktoyaktuk,40,CA,1566430070,46,69.44,-133.03,12.0,3.6
174,Vila Franca do Campo,75,PT,1566430070,94,37.72,-25.43,22.0,6.2
175,Kuala Terengganu,75,MY,1566430070,94,5.33,103.14,25.0,1.85
176,Punta Umbria,0,ES,1566430071,72,37.18,-6.97,25.0,0.45
177,San Juan,0,AR,1566430064,48,-31.54,-68.53,8.12,1.85
178,Lavrentiya,100,RU,1566430071,36,65.58,-170.99,13.32,2.04
179,Shubarkuduk,0,KZ,1566430071,63,49.15,56.49,21.82,5.47
180,Bathsheba,20,BB,1566429878,74,13.22,-59.52,28.0,4.1
181,Clyde River,75,CA,1566430071,87,70.47,-68.59,6.0,3.6
182,Port Elizabeth,1,US,1566430067,69,39.31,-74.98,30.56,3.6
183,La Ronge,20,CA,1566430072,63,55.1,-105.3,19.0,3.1
184,Avarua,0,CK,1566430072,65,-21.21,-159.78,27.0,3.1
185,Saint-Louis,40,SN,1566430072,88,16.03,-16.5,27.0,3.1
186,Cherskiy,99,RU,1566430073,68,68.75,161.3,10.32,9.01
187,Pangnirtung,40,CA,1566429865,93,66.15,-65.72,7.0,5.7
188,Kiruna,69,SE,1566430073,87,67.86,20.23,7.0,1.0
189,Manono,17,CD,1566430073,35,-7.3,27.4,18.92,0.68
190,Inongo,57,CD,1566430073,83,-1.93,18.29,23.22,1.09
191,Espanola,53,CA,1566430074,49,46.27,-81.77,22.78,3.58
192,Camacha,40,PT,1566430074,73,33.08,-16.33,22.0,5.1
193,Luang Prabang,100,LA,1566430074,97,19.89,102.14,21.02,0.22
194,Sao Joao da Barra,0,BR,1566430075,77,-21.64,-41.05,20.0,3.1
195,Basco,1,US,1566430075,78,40.33,-91.2,26.67,1.5
196,Qaanaaq,97,GL,1566429877,76,77.48,-69.36,0.92,2.74
197,Lyngseidet,90,NO,1566430075,87,69.58,20.21,11.67,7.7
198,Broken Hill,90,AU,1566429875,81,-31.97,141.45,10.0,6.2
199,Lakes Entrance,64,AU,1566430076,75,-37.88,147.99,10.0,8.16
200,Nome,1,US,1566430076,59,30.04,-94.42,33.89,4.1
201,Takoradi,94,GH,1566430076,94,4.89,-1.75,22.62,1.67
202,LOS ALGARROBOS,40,EC,1566430076,78,-3.25,-79.94,32.0,1.31
203,Canayan,100,PH,1566430076,86,8.2,125.14,24.44,2.68
204,Riyadh,0,SA,1566429783,22,24.63,46.72,30.0,1.5
205,Dawlatabad,0,AF,1566430077,33,36.41,64.91,20.82,3.53
206,Agara,0,GE,1566430077,39,42.04,43.82,15.62,2.06
207,New Ulm,1,US,1566430077,56,44.31,-94.46,24.0,4.1
208,Fort Nelson,90,CA,1566430078,93,58.81,-122.69,10.0,2.6
209,Zhuhai,20,CN,1566430078,67,40.71,112.04,15.0,2.0
210,Castro,20,CL,1566430078,100,-42.48,-73.76,8.0,2.6
211,Srandakan,54,ID,1566430078,87,-7.94,110.25,22.42,2.06
212,Beinamar,57,TD,1566430078,93,8.67,15.38,20.72,0.54
213,Nikko,75,JP,1566430079,83,36.75,139.62,24.44,0.5
214,Maiduguri,56,NG,1566430079,82,11.84,13.15,23.82,2.46
215,Ternate,75,PH,1566430079,83,14.29,120.72,27.0,2.1
216,Mirador,36,BR,1566430079,58,-6.37,-44.36,24.42,0.37
217,Shingu,40,JP,1566430080,83,33.72,135.99,28.0,2.1
218,Cidreira,30,BR,1566430080,85,-30.17,-50.22,10.02,3.14
219,Haines Junction,17,CA,1566430080,30,60.75,-137.51,12.12,1.5
220,Muros,0,ES,1566430080,87,42.77,-9.06,22.22,1.0
221,Jiwani,10,PK,1566430080,80,25.05,61.74,27.02,4.45
222,Gigmoto,100,PH,1566430081,77,13.78,124.39,27.42,9.71
223,Provideniya,90,RU,1566430081,75,64.42,-173.23,8.0,2.0
224,Padang,94,ID,1566430081,78,-0.92,100.36,26.92,3.98
225,Iguape,100,BR,1566430082,96,-24.7,-47.56,15.32,1.75
226,Guarapari,75,BR,1566430082,83,-20.67,-40.5,21.0,3.1
227,Mangan,62,IN,1566430082,72,27.5,88.54,14.72,1.75
228,Coahuayana,81,MX,1566430082,84,18.62,-100.35,27.32,0.8
229,Chipinge,62,ZW,1566430083,81,-20.19,32.62,12.22,1.75
230,Jacareacanga,79,BR,1566430083,52,-6.22,-57.76,26.92,1.11
231,Itarema,16,BR,1566430083,80,-2.92,-39.92,23.62,4.15
232,East London,0,ZA,1566430083,35,-33.02,27.91,14.62,2.19
233,Nuuk,75,GL,1566430084,87,64.17,-51.74,7.0,2.6
234,Lieksa,97,FI,1566430084,96,63.32,30.02,12.52,2.23
235,Grenaa,0,DK,1566430084,87,56.42,10.88,12.22,1.0
236,Vaitape,0,PF,1566430085,78,-16.52,-151.75,26.12,4.12
237,Buchanan,75,LR,1566430085,94,5.88,-10.05,23.0,6.2
238,Kuching,75,MY,1566430085,94,1.56,110.34,26.0,1.0
239,Ancud,20,CL,1566430086,100,-41.87,-73.83,8.0,2.6
240,Nordfjordeid,45,NO,1566430086,71,61.91,5.99,13.0,6.2
241,Barrow,100,AR,1566429889,66,-38.31,-60.23,7.52,3.54
242,Boralday,20,KZ,1566430086,31,43.36,76.86,23.0,4.0
243,Codrington,0,AU,1566430086,36,-28.95,153.24,19.0,7.2
244,Kaitangata,100,NZ,1566430087,75,-46.28,169.85,10.0,3.58
245,Muzaffarpur,40,IN,1566430087,94,26.12,85.39,26.0,1.5
246,Sitka,76,US,1566429936,46,37.17,-99.65,31.11,7.6
247,Manggar,100,ID,1566430087,78,-2.88,108.27,26.42,2.95
248,Sola,100,TZ,1566430087,49,-3.17,33.8,21.72,2.66
249,Bonthe,100,SL,1566430087,90,7.53,-12.5,23.62,4.91
250,Goma,3,CD,1566430088,76,-1.67,29.23,12.22,0.42
251,Kaeo,50,NZ,1566430088,100,-35.1,173.78,15.56,0.89
252,Muisne,75,EC,1566430088,88,0.61,-80.02,25.0,4.6
253,Lompoc,1,US,1566430088,60,34.64,-120.46,32.22,7.7
254,Yerbogachen,100,RU,1566430089,95,61.28,108.01,11.52,1.88
255,Fortuna,75,US,1566430089,69,40.6,-124.16,26.11,4.6
256,Fairbanks,1,US,1566429837,41,64.84,-147.72,14.44,1.44
257,Daman,78,IN,1566430089,79,20.42,72.83,27.82,6.11
258,Ishigaki,20,JP,1566430089,89,24.34,124.16,29.0,3.6
259,Natchitoches,1,US,1566429965,39,31.76,-93.09,37.0,2.1
260,Muzhi,100,RU,1566430090,79,65.4,64.7,11.52,2.84
261,Hasaki,75,JP,1566430090,94,35.73,140.83,25.0,3.1
262,Lagoa,0,PT,1566430090,69,37.14,-8.45,24.0,1.0
263,Ghanzi,0,BW,1566430090,43,-21.7,21.65,12.32,2.63
264,Necochea,100,AR,1566430091,84,-38.55,-58.74,7.22,2.24
265,Ilulissat,28,GL,1566430091,75,69.22,-51.1,7.0,1.58
266,Russell,40,US,1566430091,74,38.9,-98.86,29.0,7.7
267,Edd,54,ER,1566430091,58,13.93,41.69,30.82,2.97
268,Richmond,90,CA,1566430092,88,49.16,-123.14,20.0,6.2
269,Tabas,0,IR,1566430092,20,33.6,56.92,29.0,2.1
270,Romny,0,UA,1566430092,79,50.74,33.49,18.72,1.4
271,Awjilah,0,LY,1566430092,57,29.14,21.3,24.22,4.22
272,Alofi,40,NU,1566430093,83,-19.06,-169.92,28.0,3.6
273,Norman Wells,90,CA,1566430093,71,65.28,-126.83,12.0,1.5
274,Wattegama,100,LK,1566430093,92,7.35,80.68,21.92,1.83
275,Mbanza-Ngungu,90,CD,1566430093,77,-5.25,14.87,21.62,2.52
276,Santa Rosa,100,AR,1566430094,59,-36.62,-64.29,10.02,3.15
277,San Patricio,0,PY,1566430094,76,-26.98,-56.83,13.42,3.71
278,Havoysund,40,NO,1566430094,87,71.0,24.66,10.0,3.6
279,Ha Tinh,100,VN,1566430094,86,18.33,105.9,26.12,0.84
280,Plouzane,0,FR,1566430095,93,48.38,-4.62,14.44,2.1
281,Mercedes,37,UY,1566430095,67,-33.25,-58.03,10.56,1.79
282,Kalmunai,100,LK,1566430095,74,7.42,81.82,24.32,1.31
283,Carandai,90,BR,1566430095,93,-20.95,-43.81,15.0,2.6
284,Faya,0,SA,1566430096,33,18.39,42.45,23.0,3.1
285,Port Augusta,90,AU,1566430096,87,-32.49,137.76,11.67,2.1
286,Qasigiannguit,97,GL,1566429895,75,68.82,-51.19,7.0,0.71
287,Yangjiang,97,CN,1566430096,69,21.85,111.96,30.56,0.7
288,Parbatipur,0,BD,1566430097,74,25.66,88.92,28.52,1.56
289,Maragogi,34,BR,1566429858,93,-9.01,-35.22,19.22,1.04
290,Mogadishu,100,SO,1566430097,87,2.04,45.34,24.12,6.23
291,Chokurdakh,100,RU,1566430097,77,70.62,147.9,8.92,4.96
292,Mogok,100,MM,1566430098,99,22.92,96.51,20.62,1.54
293,Stabat,99,ID,1566430098,79,3.76,98.46,22.22,0.88
294,Nishihara,90,JP,1566430098,94,35.74,139.53,27.22,2.6
295,Progreso,0,UY,1566430098,81,-34.68,-56.22,9.44,3.6
296,Mount Pleasant,1,US,1566430098,37,33.16,-94.97,37.22,2.1
297,Rawson,19,AR,1566430099,58,-43.3,-65.11,10.52,5.27
298,Tokur,100,RU,1566430099,87,53.13,132.9,11.62,2.53
299,Corner Brook,75,CA,1566430099,72,48.95,-57.95,19.0,1.5
300,Gat,76,SN,1566430099,83,14.69,-16.54,29.0,2.1
301,Nouadhibou,0,MR,1566430100,73,20.93,-17.03,23.0,9.8
302,Tartagal,0,AR,1566429943,56,-22.52,-63.8,22.0,0.73
303,Jeremie,43,HT,1566430100,77,18.65,-74.12,28.12,1.12
304,Teknaf,98,BD,1566430100,83,20.86,92.31,27.82,3.37
305,Saint-Pierre,0,FR,1566430101,71,48.95,4.24,14.0,3.1
306,Egvekinot,70,RU,1566430101,46,66.32,-179.17,15.42,1.67
307,Huinan,17,CN,1566430101,77,42.68,126.04,18.62,5.61
308,Toora-Khem,78,RU,1566430101,93,52.47,96.11,6.82,0.81
309,Ahipara,44,NZ,1566430102,100,-35.17,173.16,14.44,0.89
310,Boende,10,CD,1566430102,97,-0.28,20.88,21.12,1.24
311,San Cristobal,99,HN,1566429894,77,14.68,-86.92,22.62,2.8
312,Iquique,20,CL,1566430103,72,-20.22,-70.14,15.0,5.1
313,Dakar,40,SN,1566429844,83,14.69,-17.45,28.0,6.11
314,Yaring,20,TH,1566430103,100,6.87,101.37,23.0,1.5
315,Sarh,20,TD,1566430103,94,9.14,18.39,23.0,1.41
316,Paamiut,100,GL,1566430104,88,61.99,-49.67,4.22,2.57
317,Shishou,0,CN,1566430104,86,29.72,112.42,25.92,4.59
318,Clearlake,1,US,1566430104,33,38.96,-122.63,36.0,5.1
319,Alugan,100,PH,1566430105,97,12.22,125.48,22.02,5.41
320,College,1,US,1566430105,41,64.86,-147.8,14.44,1.44
321,Miles City,1,US,1566430105,31,46.41,-105.84,32.0,5.7
322,Zhigansk,88,RU,1566430105,80,66.77,123.37,14.62,2.58
323,Tarauaca,45,BR,1566430048,88,-8.16,-70.77,21.62,0.3
324,Zalantun,100,CN,1566430106,97,48.0,122.72,14.42,2.66
325,Avera,1,US,1566430106,70,33.19,-82.53,34.0,2.1
326,Uthal,37,PK,1566430106,76,25.81,66.62,27.32,1.63
327,Kushima,20,JP,1566430107,70,31.5,131.29,29.0,2.1
328,Kathu,0,ZA,1566430107,38,-27.7,23.05,6.67,1.21
329,Saint Augustine,20,TT,1566430107,74,10.65,-61.4,28.0,2.1
330,Qadian,20,IN,1566430107,88,31.82,75.38,28.0,2.44
331,Kalabo,0,ZM,1566430108,43,-15.0,22.67,15.02,3.32
332,Beloha,0,MG,1566430108,84,-25.17,45.06,15.32,3.85
333,Ndungu,14,TZ,1566430108,95,-4.38,38.06,17.02,2.9
334,Nantucket,1,US,1566430004,88,41.28,-70.1,26.0,4.6
335,Xining,100,CN,1566430109,92,36.62,101.77,9.12,1.24
336,Rumonge,18,BI,1566430109,53,-3.97,29.44,18.82,1.66
337,Rome,0,IT,1566430013,64,41.89,12.48,24.44,0.5
338,Bata,40,GQ,1566430109,100,1.87,9.77,25.0,1.5
339,Peleduy,22,RU,1566430109,86,59.63,112.75,13.02,0.77
340,Bijar,0,IR,1566430110,32,35.87,47.6,16.12,2.62
341,Vao,24,EE,1566429907,96,59.1,26.19,11.52,3.14
342,Tulun,70,RU,1566430110,91,54.56,100.58,11.52,0.71
343,Barsovo,0,RU,1566430110,100,61.17,73.17,13.0,3.0
344,Benghazi,0,LY,1566430110,71,32.12,20.07,25.02,8.81
345,Chandbali,46,IN,1566430111,86,20.77,86.74,27.82,1.21
346,Haimen,14,CN,1566430111,61,31.87,121.18,35.0,2.21
347,Hirara,20,JP,1566430111,88,24.8,125.28,29.0,3.1
348,San Joaquin,100,PH,1566430111,85,10.59,122.14,25.72,2.03
349,Alyangula,47,AU,1566429907,53,-13.85,136.42,22.0,2.6
350,Yarada,100,IN,1566430112,82,17.65,83.27,26.72,1.57
351,Cockburn Town,84,TC,1566430016,77,21.46,-71.14,28.22,7.37
352,Lac du Bonnet,16,CA,1566430112,51,50.25,-96.06,18.33,5.0
353,Port Hardy,75,CA,1566430112,63,50.7,-127.42,17.0,7.2
354,Bethel,20,US,1566430113,39,60.79,-161.76,19.0,2.1
355,Torbay,75,CA,1566430113,64,47.66,-52.73,23.33,5.1
356,Marzuq,78,YE,1566430113,46,14.4,46.47,28.02,1.39
357,Treinta y Tres,55,UY,1566430113,92,-33.23,-54.39,4.62,2.59
358,West Wendover,1,US,1566429964,8,40.74,-114.07,34.0,4.6
359,Namibe,52,AO,1566430114,89,-15.19,12.15,19.52,4.55
360,Dzaoudzi,90,YT,1566430114,83,-12.79,45.27,26.0,9.8
361,Vanimo,64,PG,1566430114,67,-2.67,141.3,27.82,2.49
362,Wagar,54,US,1566430114,78,31.44,-87.99,30.56,2.54
363,Pekan,75,MY,1566430115,94,3.49,103.39,25.0,0.74
364,Sao Filipe,57,CV,1566430115,81,14.9,-24.5,24.42,3.67
365,Fort Morgan,1,US,1566430115,39,40.25,-103.8,28.33,4.1
366,Ongandjera,0,NA,1566430115,22,-17.88,15.07,16.22,4.26
367,Nizhniy Tsasuchey,100,RU,1566430115,78,50.52,115.13,13.62,6.26
368,Honningsvag,0,NO,1566430116,93,70.98,25.97,10.0,1.5
369,Coolum Beach,0,AU,1566430116,42,-26.53,153.09,19.44,1.79
370,Chinacota,40,CO,1566430116,33,7.61,-72.6,33.0,6.2
371,Santo Antonio do Ica,83,BR,1566430116,67,-3.1,-67.94,26.42,0.76
372,Quatre Cocos,40,MU,1566430116,93,-20.21,57.76,19.44,2.6
373,Dembi Dolo,76,ET,1566430117,92,8.53,34.8,19.42,1.89
